C.D.S.  -  SIMBAD4 rel 1.8  -  2024.02.16CET12:23:02

coord 194.87996 27.96504 (FK5, 2000, 2000), radius: 30 arcmin
-------------------------------------------------------------

Number of objects : 3634

 #  |dist(asec)|             identifier              |typ|       coord1 (ICRS,J2000/2000)        |  redshift  |  Mag B  |         morph. type         |       ang. size       
----|----------|-------------------------------------|---|---------------------------------------|------------|---------|-----------------------------|-----------------------
127 |    150.94|2MASS J12592598+2755400              |*  |12 59 26.0108309208 +27 55 39.712652472|~           |19.781   |~ ~ ~                        |    ~     ~            
128 |    151.79|[CTM2010] 195614                     |G  |12 59 41.8837 +27 58 48.633            |0.02457     |     ~   |~ ~ ~                        |    ~     ~            
129 |    151.99|[CHM2007] HDC 745                    |GrG|12 59 21.0 +27 59 04                   |0.023670    |     ~   |~ ~ ~                        | 98   51.94            
130 |    152.19|[CG99] SA1656-3                      |G  |12 59 41.0 +27 56 35                   |~           |23.89    |~ ~ ~                        |    ~     ~            
131 |    152.68|LEDA 1822726                         |GiC|12 59 19.70 +27 58 06.0                |0.0257      |18.995   |E D 2007ApJS..169..225E      | 0.25  0.15            
132 |    152.89|[EDG2007] 167                        |*  |12 59 20.2377775680 +27 58 42.356963676|~           |19.6     |~ ~ ~                        |    ~     ~            
133 |    154.24|[MGH2010] J125942.26+275841.9        |G? |12 59 42.26 +27 58 41.9                |~           |     ~   |~ ~ ~                        |    ~     ~            
134 |    155.03|LEDA 1822852                         |GiC|12 59 19.716 +27 58 24.60              |0.02413     |18.677   |E D 2007ApJS..169..225E      | 0.30  0.15            
135 |    157.54|[AGO2007] 225                        |PN?|12 59 32.52 +27 55 17.6                |~           |     ~   |~ ~ ~                        |    ~     ~            
136 |    157.58|[EDG2007] 184                        |*  |12 59 32.8274556024 +28 00 30.231573336|~           |19.815   |~ ~ ~                        |    ~     ~            
137 |    157.59|[AGO2007] 204                        |PN?|12 59 39.35 +27 55 59.5                |~           |     ~   |~ ~ ~                        |    ~     ~            
138 |    157.76|LEDA 44635                           |AG?|12 59 37.9916897496 +28 00 03.640609728|0.01659     |18.097   |SB0... D 2008A&A...490..923M | 0.26  0.22            
139 |    158.56|[EDG2007] 309                        |*  |12 59 21.5659298448 +27 59 28.435695108|~           |19.41    |~ ~ ~                        |    ~     ~            
140 |    158.86|LEDA 1821555                         |GiC|12 59 32.105 +27 55 15.75              |0.0227      |19.13    |dE D 2007ApJS..169..225E     | 0.26  0.16            
141 |    158.94|GMP 3386                             |G  |12 59 31.644 +28 00 32.97              |~           |21.91    |~ ~ ~                        |    ~     ~            
142 |    160.86|[HVH2010] Comai J125939.218+275954.67|G  |12 59 39.2258209738 +27 59 54.749231757|0.0236      |21.33    |~ ~ ~                        |    ~     ~            
143 |    161.90|[EDG2007] 237                        |*  |12 59 26.5484546664 +28 00 23.916536928|~           |17.274   |~ ~ ~                        |    ~     ~            
144 |    162.05|GMP 3378                             |G  |12 59 31.8 +28 00 36                   |0.51371     |     ~   |~ ~ ~                        |    ~     ~            
