C.D.S.  -  SIMBAD4 rel 1.8  -  2024.02.16CET12:23:02

coord 194.87996 27.96504 (FK5, 2000, 2000), radius: 30 arcmin
-------------------------------------------------------------

Number of objects : 3634

 #  |dist(asec)|             identifier              |typ|       coord1 (ICRS,J2000/2000)        |  redshift  |  Mag B  |         morph. type         |       ang. size       
----|----------|-------------------------------------|---|---------------------------------------|------------|---------|-----------------------------|-----------------------
3047|   1599.55|[YKK2016] 439                        |LSB|12 58 36.005 +28 21 37.52              |~           |     ~   |~ ~ ~                        |0.195 0.195            
3048|   1600.25|GMP 3028                             |G  |12 59 59.5 +28 23 50                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3049|   1600.41|LEDA 1824071                         |GiC|12 57 31.23458 +28 01 06.3304          |0.02351     |     ~   |~ ~ ~                        | 0.31  0.12            
3050|   1600.48|GMP 2005                             |G  |13 01 31.1 +27 54 43                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3051|   1600.51|[K94] 125527.16+275849.0             |Rad|12 57 52.28 +27 42 37.4                |~           |     ~   |~ ~ ~                        |    ~     ~            
3052|   1600.56|GMP 3207                             |G  |12 59 43.8 +28 24 26                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3053|   1600.66|GMP 4838                             |G  |12 57 31.1 +28 00 53                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3054|   1601.31|[HHM2010] 194.68362+27.55558         |G  |12 58 44.066 +27 33 20.05              |~           |     ~   |~ ~ ~                        |    ~     ~            
3055|   1601.56|[HHM2010] 194.53347+27.64259         |*  |12 58 08.032 +27 38 33.28              |~           |     ~   |~ ~ ~                        |    ~     ~            
3056|   1601.64|UCAC4 592-049533                     |*  |12 58 19.9401121288 +28 19 29.215391708|-0.000084   |13.263   |~ ~ ~                        |    ~     ~            
3057|   1601.86|2MASS J13002810+2821281              |NIR|13 00 28.10 +28 21 28.2                |~           |     ~   |~ ~ ~                        |    ~     ~            
3058|   1602.06|[HHM2010] 194.67200+27.55988         |GiC|12 58 41.276 +27 33 35.50              |0.18540     |     ~   |~ ~ ~                        |    ~     ~            
3059|   1602.34|CAIRNS J130051.87+273801.9           |GiC|13 00 51.87 +27 38 01.9                |0.02610     |     ~   |~ ~ ~                        |    ~     ~            
3060|   1602.36|[HHM2010] 194.68144+27.55608         |G  |12 58 43.542 +27 33 21.88              |~           |     ~   |~ ~ ~                        |    ~     ~            
3061|   1602.97|PB 3223                              |Sy1|13 01 28.1471465160 +27 51 06.685754040|0.24230     |18.32    |S0 D ~                       |    ~     ~            
3062|   1603.51|GMP 2020                             |G  |13 01 29.9 +28 03 10                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3063|   1603.63|GMP 2041                             |G  |13 01 27.767 +27 50 45.67              |~           |     ~   |~ ~ ~                        |    ~     ~            
3064|   1603.96|GMP 2151                             |GiC|13 01 18.4504740888 +28 10 20.603304012|0.08518     |     ~   |~ ~ ~                        |    ~     ~            
3065|   1604.55|GMP 1995                             |G  |13 01 32.1 +27 59 30                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3066|   1604.73|USNO-A1.0 1125-06713090              |PM*|13 01 05.8169439120 +28 14 37.916306736|~           |     ~   |~ ~ ~                        |    ~     ~            
3067|   1604.85|GMP 3455                             |G  |12 59 26.9 +28 24 38                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3068|   1605.11|[HHM2010] 194.54373+27.63289         |G  |12 58 10.493 +27 37 58.37              |~           |     ~   |~ ~ ~                        |    ~     ~            
3069|   1605.17|SDSS J125730.11+275659.0             |QSO|12 57 30.111 +27 56 59.07              |2.26729     |     ~   |~ ~ ~                        |    ~     ~            
3070|   1607.56|[YKK2016] 623                        |LSB|12 57 32.033 +28 03 00.89              |~           |     ~   |~ ~ ~                        |0.210 0.210            
3071|   1607.62|[HHM2010] 194.72553+27.53992         |*  |12 58 54.124 +27 32 23.67              |~           |     ~   |~ ~ ~                        |    ~     ~            
3072|   1607.96|GMP 2135                             |G  |13 01 19.4 +28 10 05                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3073|   1608.03|GMP 4781                             |G  |12 57 36.6 +27 49 07                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3074|   1608.07|[APD2000] J130020.0+282227           |IR |13 00 20.0 +28 22 27                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3075|   1608.54|2XMM J130129.2+280409                |X  |13 01 29.3422680864 +28 04 07.588447644|~           |     ~   |~ ~ ~                        |    ~     ~            
3076|   1609.13|[YKK2016] 636                        |LSB|12 57 51.595 +28 13 17.41              |~           |     ~   |~ ~ ~                        |0.113 0.113            
3077|   1609.24|GMP 4847                             |G  |12 57 30.3 +28 00 34                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3078|   1609.58|GMP 3280                             |G  |12 59 39.1 +27 31 08                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3079|   1609.99|[HHM2010] 194.62708+27.57783         |G  |12 58 30.496 +27 34 40.17              |~           |     ~   |~ ~ ~                        |    ~     ~            
3080|   1610.89|[YKK2016] 34                         |LSB|13 00 29.312 +27 34 19.98              |~           |     ~   |~ ~ ~                        |0.103 0.103            
3081|   1610.94|[HHM2010] 194.71128+27.54321         |G  |12 58 50.707 +27 32 35.48              |~           |     ~   |~ ~ ~                        |    ~     ~            
3082|   1611.03|GMP 3416                             |G  |12 59 29.4 +28 24 45                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3083|   1611.56|LEDA 83746                           |GiC|13 00 19.1059455024 +27 33 13.409044308|0.01964     |14       |S0/E D ~                     |0.327 0.261            
3084|   1612.01|[HHM2010] 194.61988+27.58093         |G  |12 58 28.770 +27 34 51.30              |~           |     ~   |~ ~ ~                        |    ~     ~            
3085|   1613.40|GMP 4197                             |G  |12 58 31.6 +28 21 22                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3086|   1613.51|GMP 2671                             |G  |13 00 26.6 +27 33 58                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3087|   1613.68|[HHM2010] 194.57989+27.60387         |G  |12 58 19.173 +27 36 13.92              |~           |     ~   |~ ~ ~                        |    ~     ~            
3088|   1613.86|GMP 4222                             |G  |12 58 30.2 +28 21 12                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3089|   1614.06|GMP 4021                             |G  |12 58 45.9 +28 22 53                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3090|   1614.12|LEDA 126793                          |GiC|12 59 24.588 +27 31 02.41              |0.01965     |     ~   |~ ~ ~                        | 0.23  0.19            
3091|   1614.73|GMP 4755                             |G  |12 57 39.0 +27 47 26                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3092|   1614.81|2MASX J13005840+2739072              |GiC|13 00 58.3854719640 +27 39 07.543658808|0.01737     |16       |Sb D 2008A&A...490..923M     |0.300 0.192            
3093|   1614.82|[YKK2016] 709                        |LSB|12 58 21.969 +28 20 04.38              |~           |     ~   |~ ~ ~                        |0.203 0.203            
3094|   1615.21|[YKK2016] 136                        |LSB|13 01 16.003 +28 11 41.65              |~           |     ~   |~ ~ ~                        |0.072 0.072            
3095|   1615.85|LEDA 126852                          |GiC|12 57 47.9775930456 +27 43 35.638466556|0.06996     |     ~   |~ ~ ~                        | 0.41  0.15            
3096|   1615.86|[APD2000] J130049.8+281831           |IR |13 00 49.8 +28 18 31                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3097|   1615.90|SDSSCGB 38593                        |CGG|13 01 28.9 +27 50 54                   |~           |     ~   |~ ~ ~                        | 0.78  0.78            
3098|   1615.98|LEDA 126845                          |GiC|12 57 58.207 +27 40 30.22              |0.017649    |     ~   |~ ~ ~                        |    ~     ~            
3099|   1616.32|[YKK2016] 570                        |LSB|12 57 52.425 +27 42 07.47              |~           |     ~   |~ ~ ~                        |0.235 0.235            
3100|   1616.66|CAIRNS J130024.86+273342.9           |GiC|13 00 24.86 +27 33 42.9                |0.09990     |     ~   |~ ~ ~                        |    ~     ~            
3101|   1616.79|[YKK2016] 145                        |LSB|13 01 27.784 +28 05 54.64              |~           |     ~   |~ ~ ~                        |0.165 0.165            
3102|   1616.96|2MASS J13003519+2820520              |*  |13 00 35.2174508928 +28 20 51.663839208|~           |     ~   |~ ~ ~                        |    ~     ~            
3103|   1617.04|[YKK2016] 292                        |LSB|13 00 16.558 +27 32 53.43              |~           |     ~   |~ ~ ~                        |0.075 0.075            
3104|   1617.06|2XMM J125932.7+282451                |X  |12 59 32.693 +28 24 51.09              |~           |     ~   |~ ~ ~                        |    ~     ~            
3105|   1617.69|[HHM2010] 194.53104+27.63845         |G  |12 58 07.449 +27 38 18.41              |~           |     ~   |~ ~ ~                        |    ~     ~            
3106|   1618.03|SDSSCGB 38593.2                      |G  |13 01 28.737 +27 50 38.21              |~           |     ~   |~ ~ ~                        |    ~     ~            
3107|   1618.88|[HHM2010] 194.54259+27.62866         |G  |12 58 10.221 +27 37 43.16              |~           |     ~   |~ ~ ~                        |    ~     ~            
3108|   1619.00|GMP 1996                             |G  |13 01 32.15 +28 01 47.7                |~           |     ~   |~ ~ ~                        |    ~     ~            
3109|   1619.49|[APD2000] J130042.1+281955           |*  |13 00 42.041 +28 19 55.00              |~           |21.15    |~ ~ ~                        |    ~     ~            
3110|   1619.63|UCAC4 592-049587                     |*  |13 01 06.5330252161 +28 14 49.928142146|-0.000064   |13.330   |~ ~ ~                        |    ~     ~            
3111|   1620.56|[APD2000] J130106.5+281450           |*  |13 01 07.4 +28 14 37                   |~           |13.69    |~ ~ ~                        |    ~     ~            
3112|   1621.38|[HHM2010] 194.68167+27.55026         |G  |12 58 43.597 +27 33 00.90              |~           |     ~   |~ ~ ~                        |    ~     ~            
3113|   1622.68|[K94] 125637.76+274746.2             |Rad|12 59 02.78 +27 31 35.9                |~           |     ~   |~ ~ ~                        |    ~     ~            
3114|   1622.70|LEDA 126808                          |GiC|12 58 59.96 +27 31 45.3                |0.164027    |     ~   |~ ~ ~                        |    ~     ~            
3115|   1623.03|SN 2005ap                            |SN*|13 01 14.84 +27 43 31.4                |0.2832      |     ~   |~ ~ ~                        |    ~     ~            
3116|   1623.04|[HHM2010] 194.67075+27.55397         |G  |12 58 40.977 +27 33 14.27              |~           |     ~   |~ ~ ~                        |    ~     ~            
3117|   1623.23|[K94] 125503.73+281246.0             |Rad|12 57 28.83 +27 56 34.0                |~           |     ~   |~ ~ ~                        |    ~     ~            
3118|   1625.18|SDSSCGB 38593.4                      |G  |13 01 29.5702 +27 50 51.329            |~           |     ~   |~ ~ ~                        |    ~     ~            
3119|   1625.27|GMP 2954                             |GiC|13 00 05.5 +27 31 54                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3120|   1625.60|[HHM2010] 194.68866+27.54643         |G  |12 58 45.277 +27 32 47.11              |~           |     ~   |~ ~ ~                        |    ~     ~            
3121|   1625.95|[HHM2010] 194.56933+27.60669         |G  |12 58 16.627 +27 36 23.93              |~           |     ~   |~ ~ ~                        |    ~     ~            
3122|   1626.16|SDSSCGB 38593.5                      |G  |13 01 30.018 +27 51 09.91              |~           |     ~   |~ ~ ~                        |    ~     ~            
3123|   1626.36|[YKK2016] 139                        |LSB|13 01 18.036 +28 11 17.53              |~           |     ~   |~ ~ ~                        |0.133 0.133            
3124|   1626.57|[YKK2016] 246                        |LSB|12 58 38.178 +27 33 27.65              |~           |     ~   |~ ~ ~                        |0.515 0.515            
3125|   1626.61|Weis 62013                           |*  |13 00 04.5 +28 24 00                   |0.000017    |14.68    |~ ~ ~                        |    ~     ~            
3126|   1626.78|GMP 2063                             |G  |13 01 26.0 +28 07 34                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3127|   1626.81|[APD2000] J130031.3+282136           |G  |13 00 31.1 +28 21 35                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3128|   1627.17|GMP 4413                             |GiC|12 58 11.7 +28 18 36                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3129|   1627.22|[HHM2010] 194.63137+27.57018         |G  |12 58 31.525 +27 34 12.62              |~           |     ~   |~ ~ ~                        |    ~     ~            
3130|   1627.57|[HHM2010] 194.59518+27.58967         |G  |12 58 22.840 +27 35 22.79              |~           |     ~   |~ ~ ~                        |    ~     ~            
3131|   1628.17|LEDA 126871                          |GiC|12 57 28.32 +27 58 30.8                |0.037186    |     ~   |~ ~ ~                        |    ~     ~            
3132|   1628.18|GMP 4805                             |G  |12 57 34.3 +28 06 20                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3133|   1628.37|[PCQ2005] J130115.10+274328.0        |G  |13 01 15.13 +27 43 27.5                |0.2832      |21.44    |~ ~ ~                        |    ~     ~            
3134|   1628.41|GMP 2170                             |G  |13 01 16.0 +27 43 46                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3135|   1628.63|EXSS 1256.9+2841                     |X  |12 59 24.0 +28 25 00                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3136|   1628.67|2MASS J12573418+2749365              |Q? |12 57 34.2034716144 +27 49 36.837077484|~           |18.35    |~ ~ ~                        |    ~     ~            
3137|   1629.24|GMP 4670                             |G  |12 57 47.1 +27 43 29                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3138|   1630.09|[K94] 125503.35+281215.8             |Rad|12 57 28.45 +27 56 03.8                |~           |     ~   |~ ~ ~                        |    ~     ~            
3139|   1630.10|GMP 4835                             |G  |12 57 31.6 +27 51 34                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3140|   1630.41|[HHM2010] 194.54574+27.62198         |G  |12 58 10.977 +27 37 19.11              |~           |     ~   |~ ~ ~                        |    ~     ~            
3141|   1630.77|[APD2000] J130112.2+281329           |GiC|13 01 12.1782841416 +28 13 28.819988400|~           |     ~   |~ ~ ~                        |    ~     ~            
3142|   1630.79|[HHM2010] 194.57769+27.59941         |G  |12 58 18.646 +27 35 57.85              |~           |     ~   |~ ~ ~                        |    ~     ~            
3143|   1630.81|2XMM J125749.3+281312                |Sy1|12 57 49.3298964840 +28 13 12.146685168|0.41690     |     ~   |~ ~ ~                        |    ~     ~            
3144|   1630.93|GMP 2257                             |G  |13 01 09.141 +28 14 24.20              |~           |19.80    |~ ~ ~                        |    ~     ~            
3145|   1631.10|GMP 4821                             |G  |12 57 32.997 +27 50 20.63              |~           |     ~   |~ ~ ~                        |    ~     ~            
3146|   1631.15|[HHM2010] 194.62318+27.57304         |G  |12 58 29.560 +27 34 22.92              |~           |     ~   |~ ~ ~                        |    ~     ~            
3147|   1631.16|GMP 4758                             |G  |12 57 38.2 +28 08 45                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3148|   1631.41|2XMM J125750.7+274213                |X  |12 57 50.727 +27 42 13.02              |~           |     ~   |~ ~ ~                        |    ~     ~            
3149|   1631.63|GMP 4218                             |GiC|12 58 30.4 +28 21 34                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3150|   1632.07|[YKK2016] 183                        |LSB|13 00 46.650 +28 19 25.47              |~           |     ~   |~ ~ ~                        |0.078 0.078            
3151|   1632.10|[MS72] 1257.7+2840                   |PM*|13 00 04.2755500080 +28 24 06.532860420|-0.000018   |14.63    |~ ~ ~                        |    ~     ~            
3152|   1632.73|GMP 4615                             |G  |12 57 51.8 +27 41 51                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3153|   1633.35|[HHM2010] 194.61075+27.57890         |G  |12 58 26.577 +27 34 44.02              |~           |     ~   |~ ~ ~                        |    ~     ~            
3154|   1634.25|LEDA 126797                          |EmG|12 59 18.454 +27 30 48.67              |0.02015     |     ~   |S E 2018MNRAS.477.4711G      |0.167 0.113            
3155|   1634.74|[YKK2016] 580                        |LSB|12 58 14.659 +27 36 33.14              |~           |     ~   |~ ~ ~                        |0.100 0.100            
3156|   1635.50|[APS2006] 53026                      |GiC|13 01 12.910 +28 13 23.16              |0.4556      |19.56    |~ ~ ~                        |    ~     ~            
3157|   1635.55|GMP 2166                             |G  |13 01 16.4 +27 43 41                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3158|   1635.56|SDSSCGB 25984.3                      |G  |13 01 11.787 +28 13 44.49              |~           |     ~   |~ ~ ~                        |    ~     ~            
3159|   1635.59|UCAC4 593-050417                     |*  |12 59 19.4862106905 +28 25 02.405655833|0.000077    |12.778   |~ ~ ~                        |    ~     ~            
3160|   1635.72|GMP 3747                             |G  |12 59 07.1 +27 31 10                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3161|   1635.72|Gaia DR3 1460699067197424256         |WD?|12 58 41.0498402109 +27 32 59.951649227|~           |     ~   |~ ~ ~                        |    ~     ~            
3162|   1635.79|GMP 4649                             |GiC|12 57 48.3615369733 +28 13 02.023745339|~           |     ~   |~ ~ ~                        |0.0524252 0.0524252    
3163|   1635.93|[HHM2010] 194.69422+27.54139         |UV |12 58 46.61 +27 32 29.0                |~           |     ~   |~ ~ ~                        |    ~     ~            
3164|   1635.99|[APD2000] J130022.8+282241           |IR |13 00 22.8 +28 22 41                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3165|   1636.07|SDSSCGB 25984                        |CGG|13 01 12.5 +28 13 32                   |~           |     ~   |~ ~ ~                        | 0.56  0.56            
3166|   1636.27|2MASX J12573778+2808448              |G  |12 57 37.7713137168 +28 08 44.767190796|~           |     ~   |~ ~ ~                        |0.203 0.102            
3167|   1636.84|[HHM2010] 194.61731+27.57426         |G  |12 58 28.151 +27 34 27.30              |~           |     ~   |~ ~ ~                        |    ~     ~            
3168|   1636.87|GMP 4752                             |G  |12 57 38.7 +28 09 14                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3169|   1636.98|LEDA 93698                           |GiC|13 01 33.846 +27 54 39.97              |0.02189     |16.86    |dG D 2010MNRAS.404.1745M     | 0.35  0.19            
3170|   1637.37|[APD2000] J130119.6+281103           |IR |13 01 19.6 +28 11 03                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3171|   1637.44|[HHM2010] 194.51355+27.64592         |G  |12 58 03.250 +27 38 45.31              |~           |     ~   |~ ~ ~                        |    ~     ~            
3172|   1637.69|[HHM2010] 194.68193+27.54525         |*  |12 58 43.661 +27 32 42.86              |~           |     ~   |~ ~ ~                        |    ~     ~            
3173|   1637.81|[HHM2010] 194.68088+27.54560         |G  |12 58 43.408 +27 32 44.13              |~           |     ~   |~ ~ ~                        |    ~     ~            
3174|   1639.27|2MASX J12590036+2824219              |G  |12 59 00.3358810824 +28 24 21.848879196|~           |     ~   |~ ~ ~                        |0.153 0.153            
3175|   1639.51|GSC 01995-00156                      |*  |12 59 11.7853420224 +27 30 55.007850708|~           |12.87    |~ ~ ~                        |    ~     ~            
3176|   1639.81|[HHM2010] 194.50847+27.64959         |G  |12 58 02.032 +27 38 58.51              |~           |     ~   |~ ~ ~                        |    ~     ~            
3177|   1639.92|SDSS J130129.00+280620.3             |QSO|13 01 29.003 +28 06 20.37              |2.406000    |     ~   |~ ~ ~                        |    ~     ~            
3178|   1640.66|[HHM2010] 194.54274+27.62051         |G  |12 58 10.258 +27 37 13.81              |~           |     ~   |~ ~ ~                        |    ~     ~            
3179|   1641.10|GMP 1973                             |G  |13 01 35.0 +27 58 49                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3180|   1641.84|SDSSCGB 25984.4                      |G  |13 01 13.122 +28 13 30.27              |~           |     ~   |~ ~ ~                        |    ~     ~            
3181|   1641.93|[HHM2010] 194.53517+27.62593         |G  |12 58 08.4441224160 +27 37 33.323028852|~           |     ~   |~ ~ ~                        |    ~     ~            
3182|   1642.37|GMP 1993                             |G  |13 01 32.1 +27 51 55                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3183|   1642.87|GMP 2506                             |G  |13 00 42.9 +27 35 35                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3184|   1643.25|[HHM2010] 194.51094+27.64597         |G  |12 58 02.625 +27 38 45.47              |~           |     ~   |~ ~ ~                        |    ~     ~            
3185|   1643.62|FOCA 0728-298                        |UV |13 01 13.3 +28 13 30                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3186|   1644.45|[HHM2010] 194.62853+27.56612         |G  |12 58 30.843 +27 33 57.95              |~           |     ~   |~ ~ ~                        |    ~     ~            
3187|   1644.89|GMP 4869                             |G  |12 57 28.3 +28 01 52                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3188|   1644.95|GMP 3965                             |G  |12 58 50.8 +28 23 50                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3189|   1645.16|GMP 3545                             |G  |12 59 20.3 +28 25 13                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3190|   1646.09|SDSSCGB 72908                        |CGG|12 57 31.9 +27 50 17                   |~           |     ~   |~ ~ ~                        | 0.56  0.56            
3191|   1646.31|SDSSCGB 72908.3                      |G  |12 57 31.684 +27 50 26.15              |~           |     ~   |~ ~ ~                        |    ~     ~            
3192|   1646.45|GMP 3476                             |G  |12 59 25.7 +28 25 19                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3193|   1646.45|[HHM2010] 194.50990+27.64564         |G  |12 58 02.375 +27 38 44.28              |~           |     ~   |~ ~ ~                        |    ~     ~            
3194|   1646.93|[HHM2010] 194.51368+27.64208         |GiC|12 58 03.281 +27 38 31.44              |~           |     ~   |~ ~ ~                        |    ~     ~            
3195|   1647.03|SDSSCGB 72908.4                      |G  |12 57 31.868 +27 50 15.08              |~           |     ~   |~ ~ ~                        |    ~     ~            
3196|   1647.04|LEDA 44785                           |GiC|13 00 35.6790730896 +27 34 26.982195312|0.01700     |15.5     |Sbc D ~                      |0.573 0.161            
3197|   1648.25|GMP 2521                             |G  |13 00 42.469 +28 20 26.20              |~           |21.52    |~ ~ ~                        |    ~     ~            
3198|   1648.31|[HHM2010] 194.50565+27.64879         |G  |12 58 01.355 +27 38 55.61              |~           |     ~   |~ ~ ~                        |    ~     ~            
3199|   1648.32|GMP 2122                             |G  |13 01 20.8 +27 44 57                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3200|   1649.10|[YKK2016] 481                        |LSB|13 00 25.138 +28 22 40.97              |~           |     ~   |~ ~ ~                        |0.068 0.068            
3201|   1649.39|GMP 2418                             |G  |13 00 51.86 +28 18 51.9                |~           |     ~   |~ ~ ~                        |    ~     ~            
3202|   1649.56|[HHM2010] 194.57584+27.59413         |G  |12 58 18.212 +27 35 38.84              |~           |     ~   |~ ~ ~                        |    ~     ~            
3203|   1649.66|[HHM2010] 194.58928+27.58580         |G  |12 58 21.424 +27 35 08.84              |~           |     ~   |~ ~ ~                        |    ~     ~            
3204|   1649.74|2MASX J13002516+2733076              |GiC|13 00 25.1719443672 +27 33 08.143286364|0.02424     |     ~   |S0 E 2018MNRAS.477.4711G     |0.170 0.133            
3205|   1649.83|CAIRNS J130043.98+273536.7           |GiC|13 00 43.98 +27 35 36.7                |0.02420     |     ~   |~ ~ ~                        |    ~     ~            
3206|   1649.89|GMP 3179                             |G  |12 59 45.6 +28 25 13                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3207|   1650.25|[HHM2010] 194.50726+27.64653         |G  |12 58 01.743 +27 38 47.46              |~           |     ~   |~ ~ ~                        |    ~     ~            
3208|   1650.86|GMP 4292                             |G  |12 58 24.3 +28 21 08                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3209|   1651.27|[HHM2010] 194.49922+27.65363         |G  |12 57 59.813 +27 39 13.02              |~           |     ~   |~ ~ ~                        |    ~     ~            
3210|   1651.54|[HHM2010] 194.62759+27.56432         |GiC|12 58 30.618 +27 33 51.50              |0.0243      |     ~   |~ ~ ~                        |    ~     ~            
3211|   1651.93|2MASX J13004423+2820146              |GiC|13 00 44.2313132568 +28 20 14.181833076|0.02641     |15.6     |SB0 D 2014MNRAS.439.1749L    |0.357 0.228            
3212|   1651.98|SN 2012ha                            |SN*|13 00 36.10 +27 34 24.6                |~           |     ~   |~ ~ ~                        |    ~     ~            
3213|   1652.16|[HHM2010] 194.49580+27.65656         |G  |12 57 58.992 +27 39 23.58              |~           |     ~   |~ ~ ~                        |    ~     ~            
3214|   1652.89|GMP 2308                             |G  |13 01 03.5 +28 16 28                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3215|   1653.03|[HHM2010] 194.61480+27.57035         |G  |12 58 27.549 +27 34 13.22              |~           |     ~   |~ ~ ~                        |    ~     ~            
3216|   1653.79|NGC 4923                             |EmG|13 01 31.7992415376 +27 50 51.100173564|0.01822     |14.7     |E D ~                        |0.547 0.448            
3217|   1654.76|[HHM2010] 194.70034+27.53376         |G  |12 58 48.079 +27 32 01.50              |~           |     ~   |~ ~ ~                        |    ~     ~            
3218|   1654.94|[YKK2016] 149                        |LSB|13 01 33.146 +27 51 59.42              |~           |     ~   |~ ~ ~                        |0.213 0.213            
3219|   1656.17|[YKK2016] 188                        |LSB|13 01 03.716 +28 16 29.75              |~           |     ~   |~ ~ ~                        |0.285 0.285            
3220|   1656.25|[HHM2010] 194.67145+27.54363         |G  |12 58 41.139 +27 32 36.99              |~           |     ~   |~ ~ ~                        |    ~     ~            
3221|   1656.29|[MBC2001] 1230                       |GiC|13 00 27.50 +27 33 16.1                |0.5244      |     ~   |~ ~ ~                        |    ~     ~            
3222|   1656.43|[HHM2010] 194.69288+27.53575         |G  |12 58 46.285 +27 32 08.69              |~           |     ~   |~ ~ ~                        |    ~     ~            
3223|   1656.62|[HHM2010] 194.74876+27.51977         |*  |12 58 59.701 +27 31 11.14              |~           |     ~   |~ ~ ~                        |    ~     ~            
3224|   1656.63|SDSS J130127.19+274738.5             |Pe*|13 01 27.1968113880 +27 47 38.862906216|~           |     ~   |~ ~ ~                        |    ~     ~            
3225|   1657.25|GMP 4434                             |GiC|12 58 09.7 +28 18 53                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3226|   1657.36|[HHM2010] 194.52482+27.62852         |G  |12 58 05.955 +27 37 42.65              |~           |     ~   |~ ~ ~                        |    ~     ~            
3227|   1657.84|[HHM2010] 194.53137+27.62303         |G  |12 58 07.528 +27 37 22.88              |~           |     ~   |~ ~ ~                        |    ~     ~            
3228|   1657.90|[YKK2016] 589                        |LSB|12 58 27.323 +27 34 09.34              |~           |     ~   |~ ~ ~                        |0.122 0.122            
3229|   1658.20|[APD2000] J130106.5+281551           |IR |13 01 06.5 +28 15 51                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3230|   1658.41|[HHM2010] 194.50853+27.64214         |*  |12 58 02.047 +27 38 31.66              |~           |     ~   |~ ~ ~                        |    ~     ~            
3231|   1658.49|Gaia DR3 1463736541083658240         |*  |12 57 32.4130528120 +28 06 41.114454945|0.000167    |     ~   |~ ~ ~                        |    ~     ~            
3232|   1658.52|[YKK2016] 711                        |LSB|12 58 23.761 +28 21 12.55              |~           |     ~   |~ ~ ~                        |0.115 0.115            
3233|   1658.89|GMP 1962                             |G  |13 01 36.4 +27 57 45                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3234|   1659.16|SDSSCGB 72908.2                      |G  |12 57 31.075 +27 50 07.86              |~           |     ~   |~ ~ ~                        |    ~     ~            
3235|   1659.25|GMP 2248                             |G  |13 01 09.3 +27 40 45                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3236|   1659.27|[HHM2010] 194.61430+27.56859         |G  |12 58 27.430 +27 34 06.91              |~           |     ~   |~ ~ ~                        |    ~     ~            
3237|   1659.30|[HHM2010] 194.52694+27.62605         |GiC|12 58 06.464 +27 37 33.75              |~           |     ~   |~ ~ ~                        |    ~     ~            
3238|   1659.86|[APD2000] J130018.8+282330           |IR |13 00 18.8 +28 23 30                   |~           |     ~   |~ ~ ~                        |    ~     ~            
3239|   1660.67|GMP 4865                             |G  |12 57 28.6 +28 03 44                   |~           |     ~   |~ ~ ~                        |    ~     ~            
